278530|KODEX 200TR|10,600
280360|롯데제과|118,000
020560|아시아나항공|14,850
185750|종근당|92,100
017800|현대엘리베이|26,800
365550|ESR켄달스퀘어리츠|5,080
000150|두산|65,300
148020|KBSTAR 200|31,975
003690|코리안리|8,830
001740|SK네트웍스|4,260
012510|더존비즈온|34,750
181710|NHN|28,050
042670|현대두산인프라코어|5,280
031430|신세계인터내셔날|29,100
018670|SK가스|111,000
248070|솔루엠|20,400
178920|PI첨단소재|34,550
233740|KODEX 코스닥150레버리지|8,900
005250|녹십자홀딩스|21,400
268280|미원에스씨|195,500
003240|태광산업|890,000
195870|해성디에스|57,800
073240|금호타이어|3,405
000670|영풍|519,000
530031|삼성 레버리지 WTI원유 선물 ETN|2,325
009900|명신산업|17,800
001800|오리온홀딩스|14,950
300720|한일시멘트|13,450
114800|KODEX 인버스|4,860
214320|이노션|46,100
363280|티와이홀딩스|17,800
381970|케이카|18,850
002840|미원상사|181,000
009420|한올바이오파마|17,150
082640|동양생명|5,520
161890|한국콜마|38,200
014830|유니드|97,000
267260|현대일렉트릭|23,800
079160|CJ CGV|20,800
145720|덴티움|76,800
114090|GKL|13,650
500019|신한 레버리지 WTI원유 선물 ETN(H)|1,690
023590|다우기술|18,700
395400|SK리츠|5,300
192820|코스맥스|72,000
013890|지누스|47,400
006650|대한유화|125,500
032350|롯데관광개발|11,150
039130|하나투어|50,000
006040|동원산업|216,000
069260|TKG휴켐스|19,350
010050|우리종금|901
066575|LG전자우|45,450
005690|파미셀|12,950
034120|SBS|42,300
003230|삼양식품|102,000
267270|현대건설기계|39,000
003540|대신증권|15,100
001680|대상|22,000
192080|더블유게임즈|41,550
005880|대한해운|2,370
005440|현대그린푸드|7,670
089590|제주항공|15,000
950210|프레스티지바이오파마|12,400
020000|한섬|30,200
007700|F&F홀딩스|18,900
241590|화승엔터프라이즈|12,200
294870|HDC현대산업개발|11,200
348950|제이알글로벌리츠|4,440
003850|보령|10,700
272450|진에어|13,950
004690|삼천리|180,000
344820|KCC글라스|45,650
139260|TIGER 200 IT|28,520
003530|한화투자증권|3,375
004490|세방전지|51,000
036420|콘텐트리중앙|37,250
051905|LG생활건강우|340,000
103140|풍산|25,200
091180|KODEX 자동차|18,315
000640|동아쏘시오홀딩스|109,000
006120|SK디스커버리|35,900
003000|부광약품|9,620
284740|쿠쿠홈시스|30,200
005610|SPC삼립|78,500
394670|TIGER 글로벌리튬&2차전지SOLACTIVE(합성)|10,570
003520|영진약품|3,685
152100|ARIRANG 200|32,310
105630|한세실업|16,750
383800|LX홀딩스|8,680
229200|KODEX 코스닥150|11,285
009970|영원무역홀딩스|47,950
005420|코스모화학|18,250
000070|삼양홀딩스|73,600
192650|드림텍|9,310
064960|SNT모티브|42,200
057050|현대홈쇼핑|51,300
357870|TIGER CD금리투자KIS(합성)|50,970
278540|KODEX MSCI Korea TR|10,405
293180|HANARO 200|31,925
049770|동원F&B|155,500
002350|넥센타이어|6,020
192400|쿠쿠홀딩스|16,550
550057|QV 코스피 변동성 매칭형 양매도 ETN|8,250
025540|한국단자|55,200
009450|경동나비엔|39,150
293940|신한알파리츠|7,730
097230|HJ중공업|6,850
003030|세아제강지주|137,500
097520|엠씨넥스|31,650
017960|한국카본|12,900
001060|JW중외제약|25,350
003470|유안타증권|2,790
000370|한화손해보험|4,680
298000|효성화학|170,500
085620|미래에셋생명|3,050
034310|NICE|14,250
007340|DN오토모티브|53,500
001430|세아베스틸지주|14,900
00680K|미래에셋증권2우B|3,810
001720|신영증권|56,500
105190|KINDEX 200|31,920
170900|동아에스티|62,700
210980|SK디앤디|23,700
090435|아모레퍼시픽우|48,950
033240|자화전자|26,150
000400|롯데손해보험|1,660
360200|KINDEX 미국S&P500|13,125
093050|LF|17,300
102460|이연제약|28,100
298040|효성중공업|53,600
196230|KBSTAR 단기통안채|105,245
008730|율촌화학|20,100
005090|SGC에너지|33,950
000815|삼성화재우|156,000
